,Rut,NEMScr,Ranking,LangScr,MathScr,ScienScr,S1_DRP,S1_BAD,S1_CVL,S1_GRD_1TO19,S1_GRD_2TO29,S1_GRD_3TO39,S1_GRD_4TO49,S1_GRD_5TO59,S1_GRD_6TO7,S1_BEST_GRD,S1_WORST_GRD,S2_DRP,S2_BAD,S2_CVL,S2_GRD_1TO19,S2_GRD_2TO29,S2_GRD_3TO39,S2_GRD_4TO49,S2_GRD_5TO59,S2_GRD_6TO7,S2_BEST_GRD,S2_WORST_GRD,S2_VS_S1,SchoolRegion_2,SchoolRegion_4,SchoolRegion_5,SchoolRegion_6,SchoolRegion_7,SchoolRegion_8,SchoolRegion_9,SchoolRegion_10,SchoolRegion_11,SchoolRegion_12,SchoolRegion_13,SchoolRegion_14,SchoolRegion_15,SchoolRegion_1,SchoolRegion_3,EdTypeCode_1,EdTypeCode_2,SchoolType_1,SchoolType_2,SchoolType_3,SchoolType_4,MotherEd_1,MotherEd_2,MotherEd_3,MotherEd_4,MotherEd_5,MotherEd_6,MotherEd_7,Campus_1,PostulationType_1
count,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0
mean,19353969.27932961,528.1359404096834,540.9739292364991,544.1005586592179,596.9925512104284,550.6666666666666,0.36685288640595903,0.4059590316573557,0.6052141527001862,0.22160148975791433,0.6108007448789572,1.0409683426443204,1.500931098696462,1.2420856610800746,0.7150837988826816,54.54562383612663,29.441340782122904,0.9459962756052142,0.9497206703910615,0.17318435754189945,0.2309124767225326,0.590316573556797,0.8752327746741154,1.2458100558659218,1.1582867783985102,0.4450651769087523,44.75046554934823,24.60335195530726,-6.431582867783988,0.0074487895716946,0.05027932960893855,0.0148975791433892,0.01303538175046555,0.0893854748603352,0.00558659217877095,0.0074487895716946,0.00186219739292365,0.7746741154562383,0.0037243947858473,0.00186219739292365,0.0037243947858473,0.00186219739292365,0.0148975791433892,0.0111731843575419,0.035381750465549346,0.037243947858473,0.0782122905027933,0.25884543761638734,0.6089385474860335,0.00558659217877095,0.0893854748603352,0.0335195530726257,0.22346368715083798,0.05772811918063315,0.03165735567970205,0.11359404096834265,0.054003724394785846,0.10800744878957169,0.9422718808193669
std,643105.6772748344,74.97505899165677,92.0189349735916,60.06614155768306,46.39938501194436,56.47766255927371,1.4054332081500513,1.107556247601925,3.36141000764567,0.6892422601176622,0.9179566004435921,1.1222800423240724,1.4077673220139486,1.3648908326990157,0.9012924190744475,16.55639008485301,12.606442489013311,1.6123554499554487,1.6992329580460632,0.788080341418926,0.5621235936069243,0.950127295264245,1.1351249157895384,1.3642237641894723,1.373758342929679,0.8337890301889624,23.21944961164957,15.312814965781767,13.057176170294024,0.08606450246928674,0.21872450000863494,0.12125601513663183,0.11353177219631058,0.2855653505162914,0.07460393210526224,0.08606450246928674,0.04315318520021031,0.4181863113364521,0.06097086425590923,0.043153185200210296,0.06097086425590923,0.043153185200210296,0.12125601513663183,0.10520911030666524,0.1849150003458354,0.18953557262124424,0.26875571427067246,0.43840893677252857,0.48844310797062707,0.07460393210526226,0.2855653505162914,0.18015668990965306,0.4169549296080324,0.23344607029024053,0.17524942221807935,0.31761342873637666,0.22623579361909382,0.3106792269109157,0.2334460702902405
min,14784994.0,348.0,348.0,355.0,389.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,19185662.0,477.0,482.0,505.0,568.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,-11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,19475212.0,523.0,527.0,543.0,597.0,554.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,56.0,26.0,-3.8299999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,19643494.0,577.0,595.0,582.0,624.0,583.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,64.0,38.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,61.0,36.0,1.3299999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
max,23801167.0,807.0,850.0,746.0,762.0,696.0,10.0,8.0,33.0,6.0,4.0,5.0,6.0,7.0,6.0,70.0,60.0,10.0,7.0,7.0,3.0,7.0,5.0,6.0,6.0,6.0,70.0,62.0,62.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
